Date,Wanted temperature,Gain,Int 0,Int 1,Int 2,Int 3,Int 4,Int 5,Int 6,Int 7,Int 8,Int 9,Int 10,Int 11,Ext 0,Ext 1,Ext 2,Ext 3
2023-06-15 14:29:54.690823,35,100.0,0.37,0.11,0.16,0.27,0.18,0.29,0.47,0.33,0.19,0.05,0.27,0.24,26.12,26.71,26.12,26.65
2023-06-15 14:29:58.107802,35,100.0,0.37,0.1,0.16,0.27,0.18,0.29,0.47,0.33,0.18,0.06,0.28,0.23,26.17,26.81,26.1,26.55
2023-06-15 14:29:59.545553,35,100.0,0.38,0.1,0.16,0.27,0.17,0.29,0.48,0.33,0.18,0.05,0.28,0.24,26.11,26.81,26.12,26.6
2023-06-15 14:30:01.087398,35,100.0,0.37,0.11,0.16,0.27,0.18,0.3,0.48,0.33,0.19,0.05,0.27,0.24,26.21,26.82,26.1,26.63
2023-06-15 14:30:02.624009,35,100.0,0.38,0.1,0.16,0.27,0.18,0.29,0.48,0.33,0.18,0.05,0.28,0.24,26.22,26.83,26.09,26.54
2023-06-15 14:30:04.145187,35,100.0,0.38,0.1,0.16,0.27,0.18,0.29,0.48,0.33,0.18,0.05,0.27,0.24,26.13,26.83,26.14,26.61
2023-06-15 14:30:05.669005,35,100.0,0.38,0.09,0.16,0.27,0.18,0.29,0.47,0.33,0.19,0.05,0.28,0.23,26.2,26.83,26.11,26.53
2023-06-15 14:30:07.976925,32.0,100.0,0.38,0.1,0.16,0.27,0.17,0.29,0.48,0.33,0.19,0.05,0.28,0.24,26.16,26.82,26.03,26.53
2023-06-15 14:30:09.933574,32.0,100.0,0.38,0.1,0.16,0.27,0.17,0.29,0.48,0.33,0.18,0.05,0.28,0.24,26.12,26.82,26.12,26.57
2023-06-15 14:30:11.496590,32.0,100.0,0.37,0.1,0.16,0.27,0.18,0.29,0.48,0.33,0.19,0.05,0.27,0.23,26.16,26.79,26.12,26.63
2023-06-15 14:30:13.083833,32.0,2.0,0.37,5.84,34.77,35.08,31.57,35.06,34.63,33.9,34.83,34.76,31.3,35.02,26.18,26.83,26.06,26.6
2023-06-15 14:30:14.638746,32.0,53.0,34.94,34.51,34.8,35.11,31.57,35.08,34.64,33.92,34.84,34.73,31.31,35.0,26.12,26.89,26.15,26.58
2023-06-15 14:30:16.202341,32.0,75.0,35.04,34.49,34.96,35.1,31.62,35.01,34.72,33.9,34.88,34.69,31.33,34.99,26.11,26.76,26.07,26.55
2023-06-15 14:30:17.879158,32.0,94.0,35.2,34.5,35.1,35.09,31.63,34.96,34.86,33.89,34.98,34.67,31.34,34.94,26.09,26.9,26.08,26.58
2023-06-15 14:30:19.482075,32.0,100.0,35.39,34.51,35.28,35.11,31.67,34.94,34.99,33.86,35.08,34.64,31.34,34.91,26.21,26.89,26.13,26.65
2023-06-15 14:30:21.092795,32.0,100.0,35.53,34.51,35.47,35.1,31.66,34.91,35.1,33.81,35.19,34.62,31.34,34.86,26.21,26.88,26.16,26.67
2023-06-15 14:30:22.862775,32.0,100.0,35.61,34.39,35.58,35.07,31.63,34.78,35.14,33.7,35.2,34.52,31.29,34.73,25.64,25.99,25.16,25.86
2023-06-15 14:30:24.526016,32.0,100.0,35.84,34.47,35.82,35.11,31.7,34.85,35.34,33.73,35.42,34.62,31.37,34.81,26.14,27.23,26.13,26.7
2023-06-15 14:30:26.226443,32.0,100.0,35.98,34.48,35.94,35.12,31.72,34.81,35.45,33.71,35.5,34.59,31.4,34.79,26.08,28.69,26.2,26.65
2023-06-15 14:30:27.911796,32.0,100.0,36.11,34.46,36.08,35.13,31.74,34.82,35.52,33.7,35.59,34.6,31.41,34.78,26.17,28.28,26.15,26.65
2023-06-15 14:30:29.688343,32.0,100.0,36.19,34.47,36.22,35.1,31.78,34.8,35.61,33.68,35.69,34.59,31.46,34.77,26.16,28.21,26.11,26.65
2023-06-15 14:30:31.427329,32.0,100.0,36.31,34.44,36.34,35.13,31.79,34.81,35.69,33.67,35.77,34.59,31.47,34.77,26.18,27.97,26.11,26.73
2023-06-15 14:30:33.169574,32.0,99.0,36.38,34.46,36.44,35.15,31.85,34.8,35.74,33.66,35.86,34.59,31.5,34.78,26.18,27.74,25.07,26.0
2023-06-15 14:30:34.970715,32.0,91.0,36.49,34.46,36.51,35.14,31.88,34.82,35.83,33.64,35.92,34.59,31.53,34.75,26.15,27.89,26.13,26.68
2023-06-15 14:30:36.727454,32.0,84.0,36.6,34.47,36.61,35.14,31.89,34.81,35.87,33.65,35.95,34.6,31.57,34.76,26.19,27.76,26.18,26.63
2023-06-15 14:30:38.503058,32.0,77.0,36.64,34.47,36.71,35.17,31.92,34.82,35.91,33.64,36.06,34.61,31.61,34.76,25.83,26.79,25.14,26.02
2023-06-15 14:30:40.230167,32.0,69.0,36.71,34.46,36.75,35.18,32.0,34.82,35.96,33.65,36.09,34.62,31.67,34.81,26.15,27.8,26.16,26.64
2023-06-15 14:30:41.944619,32.0,58.0,36.75,34.47,36.83,35.2,32.03,34.85,36.01,33.61,36.14,34.62,31.71,34.81,26.2,27.62,26.08,26.68
2023-06-15 14:30:43.706540,32.0,48.0,36.79,34.44,36.9,35.21,32.08,34.84,36.07,33.64,36.2,34.63,31.72,34.84,26.14,26.83,25.37,25.8
2023-06-15 14:30:45.435918,32.0,39.0,36.86,34.44,36.96,35.2,32.11,34.85,36.1,33.62,36.23,34.63,31.76,34.87,26.17,27.62,26.11,26.69
2023-06-15 14:30:47.119134,32.0,29.0,36.9,34.46,36.99,35.22,32.14,34.87,36.12,33.61,36.29,34.63,31.81,34.87,26.17,27.54,26.14,26.66
2023-06-15 14:30:48.853571,32.0,19.0,36.94,34.45,37.03,35.23,32.18,34.87,36.16,33.63,36.32,34.66,31.87,34.88,26.15,27.54,25.63,26.37
2023-06-15 14:30:50.700925,32.0,9.0,37.0,34.44,37.1,35.23,32.24,34.87,36.22,33.65,36.34,34.65,31.9,34.92,26.15,27.52,26.14,26.7
2023-06-15 14:30:52.396666,32.0,-1.0,37.04,34.44,37.14,35.22,32.23,34.85,36.24,33.62,36.36,34.66,31.94,34.91,26.14,27.54,26.1,26.59
